video_id;Titre;URL;Vues;Duree;Likes;Commentaires;Date_Publication;Description;Tags;Categorie_ID;Langue;Langue_Audio;Categories;Intervenants;Tags_Propres
TIE25wdrNEY;"Nouvelle formation : Intégrer l&#39;élevage ovins dans les systèmes céréaliers, avec Franck Baechler";https://www.youtube.com/watch?v=TIE25wdrNEY;288;02:14;12;0;13/11/2025;"Vous souhaitez en savoir plus pour intégrer un élevage ovin sur votre ferme céréalière ? La formation ""Intégrer l'élevage ovins ...";agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, bovin, elevage, paturage tournant, paturage tournant dynamique, ration, formation, baechler;27;fr;fr;Élevage, Formation, Environnement;Franck Baechler;bovin, elevage, paturage tournant, paturage tournant dynamique, ration, formation
VsPq5sDc2qk;"Avoir un pôle R&amp;D sur sa ferme : des avantages agronomiques et économiques, Anthony Frison";https://www.youtube.com/watch?v=VsPq5sDc2qk;371;01:16:46;13;3;12/11/2025;"Vous souhaitez vous former en grandes cultures ? Par ici pour accéder à notre formation ""Se lancer en agriculture de ...";agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Formation, Environnement;Anthony Frison;
uOeU4lhjW1s;Diversité des pratiques culturales en viticulture;https://www.youtube.com/watch?v=uOeU4lhjW1s;0;00:00;2;0;12/11/2025;Cliquez ici pour accéder à nos formations 100% finançables ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Viticulture, Formation, Environnement;;
BSBfxP_g1VU;Biosécurité et élevages plein air - Colloque Mardi 4 novembre 2025;https://www.youtube.com/watch?v=BSBfxP_g1VU;967;04:23:06;30;5;04/11/2025;Les mesures de biosécurité actuellement mises en œuvre au sein des élevages de plein air (nettoyage/désinfection des ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Élevage, Formation, Environnement;;
5KFDQNHNezQ;"L&#39;agroforesterie en France et en Europe : journée de restitution du projet AF4EU";https://www.youtube.com/watch?v=5KFDQNHNezQ;0;00:00;0;0;03/11/2025;La journée de restitution du projet européen AF4EU (Agroforestry for Europe) a lieu au Lycée Édouard de Chambray à Gouville ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Agroforesterie, Environnement;;
yZqZszHajTM;Poulaillers mobiles : prévoir ses charges et adapter se commercialisation, Maxime Merchier;https://www.youtube.com/watch?v=yZqZszHajTM;1881;01:00:55;69;7;02/11/2025;"Pour suivre la formation complète ""Mettre en place un atelier de poules pondeuses en poulailler mobile"", 100% finançable ...";agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, poule, poules, poulailler, poulailler mobile, prévisionnel, commercialisation, oeuf, oeufs;27;fr;fr;Élevage, Formation, Environnement;Maxime Merchier;poule, poules, poulailler, poulailler mobile, prévisionnel, commercialisation, oeuf, oeufs
HiQ1JdK6c-s;Un parcours vers toutes les autonomies, une ferme sans irrigation en Alsace;https://www.youtube.com/watch?v=HiQ1JdK6c-s;2769;01:30:11;75;4;29/10/2025;"Vous souhaitez vous former en élevage ? Développer l'autonomie en protéines sur votre ferme ? La formation ""Vers l'Autonomie ...";agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, bovin, elevage, konrad schreiber, la vache heureuse, lvh, paturage tournant, paturage tournant dynamique, ration;27;fr;fr;Élevage, Formation, Environnement;Konrad Schreiber;bovin, elevage, la vache heureuse, lvh, paturage tournant, paturage tournant dynamique, ration
z5KPdUIdG5w;Biodiversité du sol et pratiques agricoles, Marc-André Sélosse;https://www.youtube.com/watch?v=z5KPdUIdG5w;19453;03:14:08;549;79;24/10/2025;Vous souhaitez vous former à l'Agriculture de Conservation des Sols ? Par ici pour accéder à notre formation complète et ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, sélosse, selosse, marc-andré selosse, labour, glyphosate, giee magellan, engrais, cuivre;27;fr;fr;Formation, Environnement;Marc-André Sélosse;labour, glyphosate, giee magellan, engrais, cuivre
fWh2NisofOw;Élevage Porcin et Agroforesterie dans les Cévennes;https://www.youtube.com/watch?v=fWh2NisofOw;2169;01:17:05;73;2;12/10/2025;Accéder ici à notre formation à l'agroécologie 100% finançable VIVEA ou CPF ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique, burban, cochons, agroforesterie;27;fr;fr;Agroforesterie, Élevage, Formation, Environnement;;burban, cochons, agroforesterie
6SYIcF0_lig;Formation - La volaille agroforestière, avec Philippe Guillet;https://www.youtube.com/watch?v=6SYIcF0_lig;515;02:38;15;0;10/10/2025;Pour accéder à cette formation 100% finançable avec Philippe Guillet, c'est ici ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Agroforesterie, Élevage, Formation, Environnement;Philippe Guillet;
5WaBb5Pqk00;Agroécologie pour les vignerons : actionner la boîte à outils des végétaux, Robin Euvrard;https://www.youtube.com/watch?v=5WaBb5Pqk00;703;01:22:12;20;0;01/10/2025;Vous souhaitez vous former en viticulture ? Par ici pour accéder à nos formations ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Viticulture, Formation, Environnement;Robin Euvrard;
Nj75SgZawnk;Agroécologie pour les vignerons : actionner la boîte à outils des végétaux;https://www.youtube.com/watch?v=Nj75SgZawnk;974;01:22:10;23;1;01/10/2025;Vous souhaitez vous former en viticulture ? Par ici pour accéder à nos formations: ...;agroécologie, agriculture, verre de terre production, sols vivants, transition agroecologique;27;fr;fr;Viticulture, Formation, Environnement;;
